nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,NationGroup,n
1,-120.853981,48.9993515,Whatcom,WA,Washington,LC,Left Coast,2930,86613,1,1
2,-120.8769073,48.96497345,Whatcom,WA,Washington,LC,Left Coast,2930,86614,1,2
3,-120.8711777,48.9535141,Whatcom,WA,Washington,LC,Left Coast,2930,86615,1,3
4,-120.8138733,48.9535141,Whatcom,WA,Washington,LC,Left Coast,2930,86616,1,4
5,-120.7795029,48.94778442,Whatcom,WA,Washington,LC,Left Coast,2930,86617,1,5
6,-120.7680435,48.92486572,Whatcom,WA,Washington,LC,Left Coast,2930,86618,1,6
7,-120.7909698,48.90194702,Whatcom,WA,Washington,LC,Left Coast,2930,86619,1,7
8,-120.7852325,48.87902832,Whatcom,WA,Washington,LC,Left Coast,2930,86620,1,8
9,-120.7623215,48.83319092,Whatcom,WA,Washington,LC,Left Coast,2930,86621,1,9
10,-120.7451248,48.79308701,Whatcom,WA,Washington,LC,Left Coast,2930,86622,1,10
11,-120.682106,48.73006058,Whatcom,WA,Washington,LC,Left Coast,2930,86623,1,11
12,-120.6878281,48.70714188,Whatcom,WA,Washington,LC,Left Coast,2930,86624,1,12
14,-120.7222137,48.68422318,Whatcom,WA,Washington,LC,Left Coast,2930,86625,1,13
13,-120.7623215,48.67276382,Whatcom,WA,Washington,LC,Left Coast,2930,86626,1,14
15,-120.7680435,48.64984512,Skagit,WA,Washington,LC,Left Coast,2922,86339,1,15
16,-120.7680435,48.64984512,Whatcom,WA,Washington,LC,Left Coast,2930,86627,1,16
17,-120.7795029,48.62692642,Skagit,WA,Washington,LC,Left Coast,2922,86340,1,17
18,-120.7795029,48.60400772,Skagit,WA,Washington,LC,Left Coast,2922,86341,1,18
19,-120.7336578,48.59255219,Skagit,WA,Washington,LC,Left Coast,2922,86342,1,19
22,-120.7050171,48.57536316,Skagit,WA,Washington,LC,Left Coast,2922,86343,1,20
24,-120.6935577,48.56389999,Skagit,WA,Washington,LC,Left Coast,2922,86344,1,21
20,-120.6935577,48.56389999,Skagit,WA,Washington,LC,Left Coast,2922,86297,1,22
26,-120.7336578,48.55817413,Skagit,WA,Washington,LC,Left Coast,2922,86298,1,23
27,-120.7508621,48.53525543,Skagit,WA,Washington,LC,Left Coast,2922,86299,1,24
23,-120.7852325,48.54098129,Skagit,WA,Washington,LC,Left Coast,2922,86300,1,25
25,-120.8367996,48.56389999,Skagit,WA,Washington,LC,Left Coast,2922,86301,1,26
