nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,,,,,,,,,,,
977,-100.0040512,35.41452026,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62789,,,,,,,,,,,
976,-99.5800705,35.42598343,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62788,,,,,,,,,,,
932,-99.36234283,35.46035767,Custer,OK,Oklahoma,ML,Midlands,2119,61819,,,,,,,,,,,
931,-98.61749268,35.46035767,Custer,OK,Oklahoma,ML,Midlands,2119,61818,,,,,,,,,,,
975,-99.5800705,35.50619507,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62787,,,,,,,,,,,
928,-99.36234283,35.50619507,Custer,OK,Oklahoma,ML,Midlands,2119,61814,,,,,,,,,,,
933,-99.36234283,35.50619507,Custer,OK,Oklahoma,ML,Midlands,2119,61820,,,,,,,,,,,
974,-99.36234283,35.50619507,Roger Mills,OK,Oklahoma,ML,Midlands,2164,62786,,,,,,,,,,,
930,-98.61749268,35.55203247,Custer,OK,Oklahoma,ML,Midlands,2119,61817,,,,,,,,,,,
1410,-103.0464554,35.60932922,Hartley,TX,Texas,ML,Midlands,2595,76427,,,,,,,,,,,
1413,-103.0464554,35.60932922,Hartley,TX,Texas,ML,Midlands,2595,76432,,,,,,,,,,,
1412,-102.1641083,35.61505508,Hartley,TX,Texas,ML,Midlands,2595,76431,,,,,,,,,,,
1419,-102.1641083,35.61505508,Moore,TX,Texas,ML,Midlands,2663,77644,,,,,,,,,,,
1421,-102.1641083,35.61505508,Moore,TX,Texas,ML,Midlands,2663,77648,,,,,,,,,,,
1418,-101.6197968,35.61505508,Hutchinson,TX,Texas,ML,Midlands,2609,76683,,,,,,,,,,,
1420,-101.6197968,35.61505508,Moore,TX,Texas,ML,Midlands,2663,77647,,,,,,,,,,,
1417,-101.0812149,35.61505508,Hutchinson,TX,Texas,ML,Midlands,2609,76682,,,,,,,,,,,
