"","Long","Lat","County","StateCode","State","NationCode","Nation","Group","Order"
"1",-75.7736663818359,39.2934455871582,"Kent","DE","Delaware","TW","Tidewater",286,12063
"2",-75.7278289794922,39.2934455871582,"Kent","DE","Delaware","TW","Tidewater",286,12064
"3",-75.6991882324219,39.2877159118652,"Kent","DE","Delaware","TW","Tidewater",286,12065
"4",-75.6819915771484,39.2877159118652,"Kent","DE","Delaware","TW","Tidewater",286,12066
"5",-75.6476135253906,39.3049049377441,"Kent","DE","Delaware","TW","Tidewater",286,12067
"6",-75.6304321289062,39.3106346130371,"Kent","DE","Delaware","TW","Tidewater",286,12068
"7",-75.5903244018555,39.3049049377441,"Kent","DE","Delaware","TW","Tidewater",286,12069
"8",-75.5731353759766,39.3507423400879,"Kent","DE","Delaware","TW","Tidewater",286,12070
"9",-75.5502166748047,39.3507423400879,"Kent","DE","Delaware","TW","Tidewater",286,12071
"10",-75.5215682983398,39.3679313659668,"Kent","DE","Delaware","TW","Tidewater",286,12072
"11",-75.5215682983398,39.3679313659668,"New Castle","DE","Delaware","ML","Midlands",287,12125
"12",-75.5502166748047,39.3507423400879,"New Castle","DE","Delaware","ML","Midlands",287,12126
"13",-75.5731353759766,39.3507423400879,"New Castle","DE","Delaware","ML","Midlands",287,12127
"14",-75.5903244018555,39.3049049377441,"New Castle","DE","Delaware","ML","Midlands",287,12128
"15",-75.6304321289062,39.3106346130371,"New Castle","DE","Delaware","ML","Midlands",287,12129
"16",-75.6476135253906,39.3049049377441,"New Castle","DE","Delaware","ML","Midlands",287,12130
"17",-75.6819915771484,39.2877159118652,"New Castle","DE","Delaware","ML","Midlands",287,12131
"18",-75.6991882324219,39.2877159118652,"New Castle","DE","Delaware","ML","Midlands",287,12132
"19",-75.7278289794922,39.2934455871582,"New Castle","DE","Delaware","ML","Midlands",287,12133
"20",-75.7736663818359,39.2934455871582,"New Castle","DE","Delaware","ML","Midlands",287,12134
"21",-75.7793960571289,39.3679313659668,"New Castle","DE","Delaware","ML","Midlands",287,12135
"22",-86.3332824707031,33.9477462768555,"Blount","AL","Alabama","GA","Greater Appalachia",5,311
"23",-86.350471496582,33.9248313903809,"Blount","AL","Alabama","GA","Greater Appalachia",5,312
"24",-86.350471496582,33.901912689209,"Blount","AL","Alabama","GA","Greater Appalachia",5,313
"25",-86.361930847168,33.890453338623,"Blount","AL","Alabama","GA","Greater Appalachia",5,314
"26",-86.3848419189453,33.8789939880371,"Blount","AL","Alabama","GA","Greater Appalachia",5,315
"27",-86.4306793212891,33.8331565856934,"Blount","AL","Alabama","GA","Greater Appalachia",5,316
"28",-86.4478759765625,33.8331565856934,"Blount","AL","Alabama","GA","Greater Appalachia",5,317
"29",-86.4707870483398,33.8274269104004,"Blount","AL","Alabama","GA","Greater Appalachia",5,318
"30",-86.4822463989258,33.8102378845215,"Blount","AL","Alabama","GA","Greater Appalachia",5,319
"31",-86.5280838012695,33.8102378845215,"Blount","AL","Alabama","GA","Greater Appalachia",5,320
"32",-86.5681915283203,33.8102378845215,"Blount","AL","Alabama","GA","Greater Appalachia",5,321
"33",-86.5681915283203,33.7758636474609,"Blount","AL","Alabama","GA","Greater Appalachia",5,322
"34",-86.631217956543,33.7758636474609,"Blount","AL","Alabama","GA","Greater Appalachia",5,323
"35",-86.7343521118164,33.8503456115723,"Blount","AL","Alabama","GA","Greater Appalachia",5,324
"36",-86.889045715332,33.8560752868652,"Blount","AL","Alabama","GA","Greater Appalachia",5,325
"37",-86.9119644165039,33.8217010498047,"Blount","AL","Alabama","GA","Greater Appalachia",5,326
"38",-86.9406204223633,33.8102378845215,"Blount","AL","Alabama","GA","Greater Appalachia",5,327
"39",-85.7431335449219,33.9649391174316,"Calhoun","AL","Alabama","DS","Deep South",8,397
"40",-85.6399993896484,33.9649391174316,"Calhoun","AL","Alabama","DS","Deep South",8,398
"41",-85.63427734375,33.9534797668457,"Calhoun","AL","Alabama","DS","Deep South",8,399
"42",-85.5311431884766,33.9534797668457,"Calhoun","AL","Alabama","DS","Deep South",8,400
"43",-85.5311431884766,33.9477462768555,"Calhoun","AL","Alabama","DS","Deep South",8,401
"44",-86.0639877319336,33.8388862609863,"Calhoun","AL","Alabama","DS","Deep South",8,445
"45",-86.0467987060547,33.8503456115723,"Calhoun","AL","Alabama","DS","Deep South",8,446
"46",-86.0467987060547,33.8560752868652,"Calhoun","AL","Alabama","DS","Deep South",8,447
"47",-86.0181503295898,33.8560752868652,"Calhoun","AL","Alabama","DS","Deep South",8,448
"48",-86.0181503295898,33.8675346374512,"Calhoun","AL","Alabama","DS","Deep South",8,449
"49",-85.9952392578125,33.8675346374512,"Calhoun","AL","Alabama","DS","Deep South",8,450
"50",-85.9952392578125,33.8789939880371,"Calhoun","AL","Alabama","DS","Deep South",8,451
"51",-85.9837799072266,33.8789939880371,"Calhoun","AL","Alabama","DS","Deep South",8,452
"52",-85.9837799072266,33.896183013916,"Calhoun","AL","Alabama","DS","Deep South",8,453
"53",-85.9723129272461,33.896183013916,"Calhoun","AL","Alabama","DS","Deep South",8,454
"54",-85.9665832519531,33.9133720397949,"Calhoun","AL","Alabama","DS","Deep South",8,455
"55",-85.9551315307617,33.9191017150879,"Calhoun","AL","Alabama","DS","Deep South",8,456
