nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,NationGroup,n
1,-80.21408844,27.25560188,Martin,FL,Florida,SC,Spanish Caribbean,332,13718,2,1
2,-80.21408844,27.25560188,Martin,FL,Florida,SC,Spanish Caribbean,332,13740,2,2
4,-80.28857422,27.25560188,Martin,FL,Florida,SC,Spanish Caribbean,332,13739,2,3
3,-80.28857422,27.20403481,Martin,FL,Florida,SC,Spanish Caribbean,332,13738,2,4
5,-80.67245483,27.20403481,Martin,FL,Florida,SC,Spanish Caribbean,332,13737,2,5
6,-80.67818451,27.13528061,Martin,FL,Florida,SC,Spanish Caribbean,332,13736,2,6
7,-80.67818451,27.13528061,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14012,2,7
8,-80.77559662,27.20403481,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14011,2,8
9,-80.79277802,27.21549416,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14010,2,9
10,-80.83861542,27.20403481,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14009,2,10
11,-80.85007477,27.20403481,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14008,2,11
13,-80.86153412,27.21549416,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14007,2,12
12,-80.86153412,27.17538834,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14006,2,13
14,-80.87299347,27.15246964,Glades,FL,Florida,SC,Spanish Caribbean,311,13014,2,14
15,-80.87299347,27.15246964,Palm Beach,FL,Florida,SC,Spanish Caribbean,340,14005,2,15
16,-80.8901825,27.17538834,Glades,FL,Florida,SC,Spanish Caribbean,311,13013,2,16
17,-80.90737152,27.18684769,Glades,FL,Florida,SC,Spanish Caribbean,311,13012,2,17
18,-80.9360199,27.19257545,Glades,FL,Florida,SC,Spanish Caribbean,311,13011,2,18
19,-80.95320892,27.20403481,Glades,FL,Florida,SC,Spanish Caribbean,311,13010,2,19
20,-80.95320892,27.20403481,Glades,FL,Florida,SC,Spanish Caribbean,311,13034,2,20
21,-81.16519928,27.20403481,Glades,FL,Florida,SC,Spanish Caribbean,311,13033,2,21
22,-81.17092896,27.11809349,Glades,FL,Florida,SC,Spanish Caribbean,311,13032,2,22
24,-81.27979279,27.11236191,Glades,FL,Florida,SC,Spanish Caribbean,311,13031,2,23
23,-81.27979279,27.03214836,Glades,FL,Florida,SC,Spanish Caribbean,311,13030,2,24
26,-81.33708954,27.03214836,Glades,FL,Florida,SC,Spanish Caribbean,311,13029,2,25
25,-81.33708954,27.04360771,Glades,FL,Florida,SC,Spanish Caribbean,311,13028,2,26
28,-81.36000824,27.03787804,Glades,FL,Florida,SC,Spanish Caribbean,311,13027,2,27
27,-81.36000824,27.03214836,Glades,FL,Florida,SC,Spanish Caribbean,311,13026,2,28
30,-81.56626892,27.03214836,Charlotte,FL,Florida,SC,Spanish Caribbean,297,12435,2,29
31,-81.56626892,27.03214836,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12691,2,30
32,-81.56626892,27.03214836,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12701,2,31
33,-81.56626892,27.03214836,Glades,FL,Florida,SC,Spanish Caribbean,311,13025,2,32
29,-81.56053925,27.33581734,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12700,2,33
35,-82.05901337,27.33581734,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12699,2,34
34,-82.05901337,27.24987221,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12698,2,35
37,-82.15641785,27.24414253,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12697,2,36
36,-82.15641785,27.20403481,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12696,2,37
38,-82.2137146,27.19830704,DeSoto,FL,Florida,SC,Spanish Caribbean,303,12695,2,38
39,-82.2137146,27.19830704,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14299,2,39
40,-82.2137146,27.19830704,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14323,2,40
41,-82.27101135,27.20976639,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14322,2,41
42,-82.27674103,27.38165283,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14321,2,42
43,-82.43143463,27.38165283,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14320,2,43
44,-82.43716431,27.38738251,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14319,2,44
45,-82.56321716,27.38738251,Sarasota,FL,Florida,SC,Spanish Caribbean,348,14318,2,45
